name,Elo,combined,Polling
Eric Swalwell,1647,3262,0.13992240548049434
Bill de Blasio,1638,6558,0.4928624633201738
Jay Inslee,1583,4181,0.36793550440982853
Seth Moulton,1510,1729,0.08504640191174884
Kirsten Gillibrand,1408,8940,0.9388088286556993
Elizabeth Warren,1335,47928,12.490819188255065
Steve Bullock,1290,2834,0.6625641918589511
Marianne Williamson,1290,3176,0.5087890549486528
Tom Steyer,1265,3558,0.7515969839481536
Joe Sestak,1211,325,0.09330152322023058
Cory Booker,1207,18817,2.9051185781676656
John Hickenlooper,1205,3384,0.7921715402980389
Kamala Harris,1169,34094,8.686764821239352
Julian Castro,1146,8754,1.1012292960764454
John Delaney,1109,3512,0.5577453336896616
Amy Klobuchar,1104,11086,1.5884152155431241
Michael Bennet,1101,2855,0.5881826899763525
Tulsi Gabbard,1098,6146,0.9349357772582884
Pete Buttigieg,1068,18912,4.770514551302373
Mike Gravel,1063,365,0.3026460361810969
Tim Ryan,1062,3618,0.7572300739440083
Bernie Sanders,1022,48215,19.456375499859288
Joe Biden,958,90718,31.00597415784765
Beto O'Rourke,836,13555,4.727187561972392
Andrew Yang,675,5323,1.679750310328028
