"Kirsten Gillibrand","Elizabeth Warren","Amy Klobuchar","Cory Booker","Kamala Harris","Bernie Sanders","Jay Inslee","John Delaney","Steve Bullock","Tulsi Gabbard","Beto O'Rourke","John Hickenlooper","Pete Buttigieg","Bill Blasio","Tim Ryan","Michael Bennet","Eric Swalwell","Marianne Williamson","Seth Moulton","Joe Sestak","Andrew Yang","Tom Steyer"
"Amy Klobuchar",13,0,0,0,0,0,1,1,1,4,0,0,0,9,1,0,0,1,1,0,0,3
"Bernie Sanders",1,15,1,1,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Beto O'Rourke",12,2,16,26,1,0,2,1,1,5,0,1,0,7,1,0,0,1,0,0,2,3
"Cory Booker",5,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"Joe Biden",1,5,1,1,4,7,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"John Hickenlooper",3,0,0,0,0,0,15,2,3,4,0,0,0,6,2,1,7,2,4,0,0,0
"Kamala Harris",1,7,1,2,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0
"Steve Bullock",2,0,0,0,0,0,7,5,0,0,0,1,1,7,0,2,8,4,4,0,0,1
"Elizabeth Warren",0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Pete Buttigieg",2,1,0,5,3,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"Tulsi Gabbard",8,0,3,0,0,0,14,6,8,0,0,5,0,16,5,5,9,7,6,0,0,7
"Jay Inslee",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,0,2,0,0,0
"Andrew Yang",19,0,11,7,0,0,12,5,6,12,2,8,0,14,4,4,8,4,4,0,0,5
"John Delaney",0,0,0,0,0,0,11,0,7,0,0,4,0,10,0,4,8,10,5,0,0,0
"Tim Ryan",4,0,0,0,0,0,11,6,10,2,0,6,0,12,0,8,9,6,6,0,0,1
"Michael Bennet",1,0,0,0,0,0,11,5,6,1,0,1,0,9,3,0,7,6,6,0,0,3
"Mike Gravel",0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,5,2,6,1,0,0
"Marianne Williamson",1,0,0,0,0,0,4,0,3,0,0,0,0,7,1,1,7,0,6,0,0,1
"Seth Moulton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Kirsten Gillibrand",0,0,0,0,0,0,1,1,1,0,0,0,0,6,1,0,1,2,1,0,0,0
"Bill Blasio",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Tom Steyer",0,0,0,0,0,0,2,1,1,1,0,1,0,4,2,2,0,1,0,0,0,0
